fighter_name,opp_fighter,standing_lands,standing_attempts,ground_lands,ground_attempts,clinch_lands,clinch_attempts,leg_lands,leg_attempts,body_lands,body_attempts,head_lands,head_attempts,knockdowns,control_time,controlled_time,round_count,round_number,ending_round,ending_time
Rob Font,George Roop,9,19,1,2,2,2,3,3,2,2,7,18,1,0:04,0:17,1,1,1,2:19
Marlon Moraes,Jose Aldo,17,41,0,0,1,1,2,2,3,4,13,36,0,0:21,0:00,1,1,3,5:00
Jose Aldo,Marlon Moraes,15,40,0,0,0,0,2,2,4,8,9,30,0,0:00,0:21,1,1,3,5:00
Marlon Moraes,Jose Aldo,21,54,0,0,0,0,1,1,2,2,18,51,0,0:00,0:00,1,2,3,5:00
Jose Aldo,Marlon Moraes,28,56,0,0,0,0,1,1,7,14,20,41,0,0:00,0:00,1,2,3,5:00
Marlon Moraes,Jose Aldo,20,41,0,0,0,0,1,1,2,3,17,37,0,0:00,0:00,1,3,3,5:00
Jose Aldo,Marlon Moraes,14,50,0,0,1,1,0,1,5,12,10,38,0,0:00,0:00,1,3,3,5:00
Aljamain Sterling,Renan Barao,8,13,3,4,0,0,4,5,2,3,5,9,0,0:00,3:46,1,1,3,5:00
Aljamain Sterling,Renan Barao,9,25,25,27,2,2,7,7,6,11,23,36,0,3:50,0:00,1,2,3,5:00
Aljamain Sterling,Renan Barao,19,44,0,0,5,6,4,5,7,9,13,36,0,1:49,0:48,1,3,3,5:00
Cory Sandhagen,Iuri Alcantara,2,2,42,77,0,0,1,1,0,0,43,78,0,3:23,1:13,1,1,2,1:01
Cory Sandhagen,Iuri Alcantara,4,6,18,27,0,1,0,0,0,0,22,34,0,0:48,0:00,1,2,2,1:01
Petr Yan,Teruto Ishihara,19,31,5,8,1,1,0,0,7,8,18,32,2,0:04,0:18,1,1,1,3:28
Petr Yan,Urijah Faber,10,27,0,0,5,7,2,3,4,6,9,25,0,0:00,0:00,1,1,3,0:43
Petr Yan,Urijah Faber,12,38,14,18,7,8,0,0,6,7,27,57,2,1:25,0:16,1,2,3,0:43
Petr Yan,Urijah Faber,4,8,0,0,2,2,1,1,1,1,4,8,1,0:01,0:00,1,3,3,0:43
Dominick Cruz,Urijah Faber,8,22,0,0,2,2,3,3,2,2,5,19,0,1:54,0:11,1,1,5,5:00
Dominick Cruz,Urijah Faber,19,54,2,4,0,0,6,7,2,4,13,47,1,0:08,0:00,1,2,5,5:00
Dominick Cruz,Urijah Faber,19,61,0,0,2,4,4,5,1,5,16,55,0,0:00,0:00,1,3,5,5:00
Dominick Cruz,Urijah Faber,16,51,2,4,0,2,2,2,2,4,14,51,0,0:04,0:00,1,4,5,5:00
Dominick Cruz,Urijah Faber,15,55,0,0,2,2,2,2,1,4,14,51,0,1:20,0:00,1,5,5,5:00
Cody Garbrandt,Marcus Brimage,10,33,1,2,0,0,1,3,0,0,10,32,0,0:25,0:00,1,1,3,4:50
Cody Garbrandt,Marcus Brimage,14,45,0,0,0,1,1,1,2,4,11,41,0,0:00,0:00,1,2,3,4:50
Cody Garbrandt,Marcus Brimage,21,47,3,5,0,1,0,0,3,4,21,49,2,0:04,0:17,1,3,3,4:50
Aljamain Sterling,Cody Gibson,3,17,3,3,13,21,3,6,7,9,9,26,0,2:41,0:34,1,1,3,5:00
Aljamain Sterling,Cody Gibson,6,14,0,0,10,14,1,2,8,11,7,15,0,0:56,2:36,1,2,3,5:00
Aljamain Sterling,Cody Gibson,2,8,7,10,2,2,2,2,2,2,7,16,0,4:18,0:01,1,3,3,5:00
Rob Font,Raphael Assuncao,10,61,0,0,0,0,2,7,3,7,5,47,0,0:00,0:00,1,1,3,5:00
Rob Font,Raphael Assuncao,5,25,0,0,0,0,0,0,2,2,3,23,0,0:00,2:16,1,2,3,5:00
Rob Font,Raphael Assuncao,5,36,0,0,0,0,0,0,1,1,4,35,0,0:00,2:16,1,3,3,5:00
Pedro Munhoz,Rob Font,20,48,0,0,0,0,8,12,1,4,11,32,0,0:02,0:05,1,1,1,4:03
Rob Font,Pedro Munhoz,30,68,0,0,0,0,1,1,6,15,23,52,0,0:05,0:02,1,1,1,4:03
Marlon Moraes,Raphael Assuncao,7,18,3,5,0,0,2,4,0,2,8,17,1,1:15,0:00,1,1,1,3:17
Cory Sandhagen,Raphael Assuncao,25,52,0,0,0,0,11,13,6,8,8,31,0,0:35,0:06,1,1,3,5:00
Cory Sandhagen,Raphael Assuncao,8,13,4,4,2,3,6,7,6,6,2,7,0,2:54,0:58,1,2,3,5:00
Cory Sandhagen,Raphael Assuncao,22,43,0,0,1,1,6,8,4,7,13,29,0,0:17,1:07,1,3,3,5:00
Marlon Moraes,Raphael Assuncao,14,49,0,0,0,1,4,5,6,7,4,38,0,0:00,0:00,1,1,3,5:00
Marlon Moraes,Raphael Assuncao,11,44,0,0,0,0,3,4,4,5,4,35,0,0:00,0:00,1,2,3,5:00
Marlon Moraes,Raphael Assuncao,19,56,0,0,0,0,8,8,4,8,7,40,0,0:00,0:00,1,3,3,5:00
Rob Font,Douglas Silva de Andrade,25,61,4,4,2,2,3,3,6,8,22,56,0,1:10,0:02,1,1,2,4:36
Rob Font,Douglas Silva de Andrade,29,66,0,0,10,11,3,3,8,10,28,64,0,0:59,0:08,1,2,2,4:36
Aljamain Sterling,Raphael Assuncao,21,46,0,0,0,0,13,18,4,7,4,21,0,0:02,0:00,1,1,3,5:00
Aljamain Sterling,Raphael Assuncao,13,51,0,0,0,0,9,12,2,6,2,33,0,0:00,0:00,1,2,3,5:00
Aljamain Sterling,Raphael Assuncao,18,75,0,0,0,0,3,9,3,8,12,58,0,0:00,0:00,1,3,3,5:00
Marlon Moraes,Aljamain Sterling,5,12,2,2,0,0,0,0,1,1,6,13,2,0:13,0:00,1,1,1,1:07
Aljamain Sterling,Marlon Moraes,3,8,0,2,0,0,1,2,1,1,1,7,0,0:00,0:13,1,1,1,1:07
Aljamain Sterling,Bryan Caraway,4,15,3,5,0,0,3,5,1,2,3,13,0,3:40,0:00,1,1,3,5:00
Aljamain Sterling,Bryan Caraway,12,25,0,0,7,9,4,5,10,12,5,17,0,0:11,2:42,1,2,3,5:00
Aljamain Sterling,Bryan Caraway,6,10,0,0,0,0,2,2,3,4,1,4,0,0:00,3:53,1,3,3,5:00
Pedro Munhoz,Russell Doane,14,24,0,0,0,1,3,4,3,5,8,16,0,0:20,0:08,1,1,1,2:08
Marlon Moraes,Jimmie Rivera,2,3,5,6,0,0,1,1,0,0,6,8,1,0:00,0:00,1,1,1,0:33
Aljamain Sterling,Jimmie Rivera,4,10,0,0,17,20,5,5,16,18,0,7,0,2:09,1:27,1,1,3,5:00
Aljamain Sterling,Jimmie Rivera,42,71,0,0,6,9,14,15,15,18,19,47,0,0:36,0:49,1,2,3,5:00
Aljamain Sterling,Jimmie Rivera,31,65,1,1,0,0,7,9,8,15,17,42,0,0:00,0:34,1,3,3,5:00
Dominick Cruz,Charlie Valencia ,13,111,0,0,5,14,2,2,1,2,15,121,0,0:04,0:00,1,1,3,5:00
Dominick Cruz,Charlie Valencia ,16,112,0,0,0,0,2,3,1,4,13,105,0,0:14,0:02,1,2,3,5:00
Dominick Cruz,Charlie Valencia ,27,142,0,0,0,1,1,1,6,8,20,134,0,0:00,0:06,1,3,3,5:00
Dominick Cruz,Cody Garbrandt,20,50,0,0,0,0,7,9,4,4,9,37,0,0:00,0:09,1,1,5,5:00
Cody Garbrandt,Dominick Cruz,11,37,0,0,1,1,4,4,3,4,5,30,0,0:09,0:00,1,1,5,5:00
Dominick Cruz,Cody Garbrandt,19,60,0,0,0,0,6,7,2,6,11,47,0,0:00,0:00,1,2,5,5:00
Cody Garbrandt,Dominick Cruz,16,45,0,0,0,0,1,2,6,10,9,33,0,0:00,0:00,1,2,5,5:00
Dominick Cruz,Cody Garbrandt,20,70,0,0,0,0,3,4,1,1,16,65,0,0:01,0:01,1,3,5,5:00
Cody Garbrandt,Dominick Cruz,16,45,0,0,1,1,0,2,1,1,16,43,0,0:01,0:01,1,3,5,5:00
Dominick Cruz,Cody Garbrandt,17,54,0,0,0,0,1,3,1,1,15,50,0,0:00,0:05,1,4,5,5:00
Cody Garbrandt,Dominick Cruz,15,46,0,1,0,0,4,5,0,1,11,41,2,0:05,0:00,1,4,5,5:00
Dominick Cruz,Cody Garbrandt,12,57,0,0,0,0,4,4,1,2,7,51,0,0:00,0:24,1,5,5,5:00
Cody Garbrandt,Dominick Cruz,8,17,0,0,0,2,1,1,1,1,6,17,0,0:24,0:00,1,5,5,5:00
Pedro Munhoz,Jerrod Sanders,2,2,0,0,0,0,2,2,0,0,0,0,0,0:00,0:10,1,1,1,0:39
Pedro Munhoz,Bryan Caraway,27,47,4,4,4,7,9,11,2,2,24,45,1,0:02,0:17,1,1,1,2:39
Cody Garbrandt,TJ Dillashaw,14,39,0,0,3,4,1,1,2,5,14,37,0,0:00,0:29,1,1,1,4:10
Cody Garbrandt,TJ Dillashaw,14,39,1,3,0,0,0,1,2,4,13,37,1,0:04,0:00,1,1,2,2:41
Cody Garbrandt,TJ Dillashaw,3,11,0,0,0,0,0,0,0,1,3,10,0,0:00,0:07,1,2,2,2:41
Pedro Munhoz,John Dodson,13,40,0,0,0,0,4,9,6,15,3,16,0,0:00,0:00,1,1,3,5:00
Pedro Munhoz,John Dodson,31,60,0,0,3,4,2,3,13,17,19,44,0,0:00,0:00,1,2,3,5:00
Pedro Munhoz,John Dodson,19,65,2,2,1,1,3,3,2,7,17,58,0,1:02,0:00,1,3,3,5:00
Pedro Munhoz,Raphael Assuncao,13,43,0,0,0,0,7,13,3,5,3,25,0,0:00,0:00,1,1,3,5:00
Pedro Munhoz,Raphael Assuncao,9,23,0,0,0,2,4,6,4,8,1,11,0,0:00,1:56,1,2,3,5:00
Pedro Munhoz,Raphael Assuncao,11,32,0,0,0,0,4,4,5,8,2,20,0,0:00,0:08,1,3,3,5:00
Pedro Munhoz,Jimmie Rivera,16,52,0,0,0,0,7,9,3,11,6,32,0,0:00,0:00,1,1,3,5:00
Pedro Munhoz,Jimmie Rivera,22,59,0,0,1,1,7,8,8,16,8,36,0,0:04,0:09,1,2,3,5:00
Pedro Munhoz,Jimmie Rivera,26,70,0,0,1,1,7,10,3,9,17,52,0,0:05,0:00,1,3,3,5:00
Cory Sandhagen,John Lineker,35,85,0,0,1,1,9,10,7,13,20,63,0,0:00,0:00,1,1,3,5:00
Cory Sandhagen,John Lineker,36,72,0,0,0,1,12,12,6,7,18,54,0,0:20,0:14,1,2,3,5:00
Cory Sandhagen,John Lineker,48,116,0,0,0,0,11,12,3,3,34,101,0,0:16,0:00,1,3,3,5:00
Dominick Cruz,Demetrious Johnson,9,20,3,3,3,3,2,2,6,6,7,18,0,2:17,0:59,1,1,5,5:00
Dominick Cruz,Demetrious Johnson,4,16,2,2,12,12,0,0,13,13,5,17,0,2:01,1:02,1,2,5,5:00
Dominick Cruz,Demetrious Johnson,5,14,0,2,4,4,1,1,4,5,4,14,0,2:44,0:35,1,3,5,5:00
Dominick Cruz,Demetrious Johnson,6,26,0,0,3,3,2,2,2,4,5,23,0,2:27,0:01,1,4,5,5:00
Dominick Cruz,Demetrious Johnson,6,12,0,0,3,3,2,2,2,2,5,11,0,3:12,0:20,1,5,5,5:00
Rob Font,Sergio Pettis,43,101,5,10,0,0,4,4,14,15,30,92,0,1:30,0:00,1,1,3,5:00
Rob Font,Sergio Pettis,37,82,0,0,0,0,2,2,6,8,29,72,0,0:23,0:16,1,2,3,5:00
Rob Font,Sergio Pettis,22,44,3,9,1,1,1,1,5,5,20,48,0,2:58,0:00,1,3,3,5:00
Cody Garbrandt,Thomas Almeida,20,47,1,1,0,0,3,4,0,1,18,43,1,0:02,0:00,1,1,1,2:53
Rob Font,Matt Schnell,12,19,13,13,1,1,1,1,5,5,20,27,1,2:10,0:00,1,1,1,3:47
Aljamain Sterling,Cody Stamann,10,35,2,2,0,0,1,3,3,7,8,27,0,0:49,1:53,1,1,2,3:42
Aljamain Sterling,Cody Stamann,3,16,15,17,3,4,2,2,4,6,15,29,0,2:04,0:43,1,2,2,3:42
Pedro Munhoz,Brett Johns,40,99,0,0,10,14,11,14,6,11,33,88,0,0:00,0:05,1,1,3,5:00
Pedro Munhoz,Brett Johns,31,64,20,37,8,17,10,15,7,15,42,88,3,1:24,0:20,1,2,3,5:00
Pedro Munhoz,Brett Johns,7,11,1,2,0,1,2,3,3,5,3,6,0,3:07,0:41,1,3,3,5:00
Aljamain Sterling,Augusto Mendes,7,21,16,25,0,0,4,10,18,21,1,15,0,3:23,0:11,1,1,3,5:00
Aljamain Sterling,Augusto Mendes,14,33,4,7,5,6,3,4,12,15,8,27,0,1:27,1:35,1,2,3,5:00
Aljamain Sterling,Augusto Mendes,32,63,0,0,5,6,2,2,16,19,19,48,0,1:09,1:27,1,3,3,5:00
Cory Sandhagen,Mario Bautista,13,47,4,7,0,0,6,8,2,3,9,43,1,0:39,0:54,1,1,1,3:31
Merab Dvalishvili,Frankie Saenz,0,18,2,2,5,14,1,1,4,6,2,27,0,3:10,0:00,1,1,3,5:00
Merab Dvalishvili,Frankie Saenz,17,44,0,0,12,14,2,3,4,6,23,49,0,2:23,0:05,1,2,3,5:00
Merab Dvalishvili,Frankie Saenz,7,22,0,0,4,4,0,0,2,4,9,22,0,2:13,0:14,1,3,3,5:00
Petr Yan,Jinsoo Son,12,43,0,0,9,10,2,2,4,6,15,45,0,0:00,0:43,1,1,3,5:00
Petr Yan,Jinsoo Son,20,50,7,8,3,6,0,0,3,3,27,61,0,0:13,1:52,1,2,3,5:00
Petr Yan,Jinsoo Son,41,102,0,0,8,13,1,1,3,4,45,110,0,0:00,0:00,1,3,3,5:00
Merab Dvalishvili,Casey Kenney,14,60,2,3,3,4,8,9,4,12,7,46,0,1:10,0:02,1,1,3,5:00
Merab Dvalishvili,Casey Kenney,17,57,4,5,3,3,6,7,9,10,9,48,0,1:57,0:00,1,2,3,5:00
Merab Dvalishvili,Casey Kenney,12,39,7,9,1,1,5,5,1,1,14,43,0,2:33,0:03,1,3,3,5:00
Merab Dvalishvili,Brad Katona,14,40,10,12,1,2,3,4,3,7,19,43,0,1:18,0:36,1,1,3,5:00
Merab Dvalishvili,Brad Katona,3,5,4,5,0,0,0,0,1,1,6,9,0,4:21,0:00,1,2,3,5:00
Merab Dvalishvili,Brad Katona,7,20,13,15,3,3,3,3,2,2,18,33,0,2:54,0:00,1,3,3,5:00
Pedro Munhoz,Justin Scoggins,20,54,0,0,0,1,10,20,3,7,7,28,0,0:00,0:04,1,1,2,1:55
Pedro Munhoz,Justin Scoggins,8,23,0,0,0,1,0,0,2,4,6,20,0,0:08,0:03,1,2,2,1:55
Merab Dvalishvili,Terrion Ware,1,14,19,29,2,6,0,0,0,0,22,49,0,4:02,0:00,1,1,3,5:00
Merab Dvalishvili,Terrion Ware,3,25,3,9,3,4,4,6,1,2,4,30,0,2:58,0:00,1,2,3,5:00
Merab Dvalishvili,Terrion Ware,2,4,29,74,0,0,2,2,4,6,25,70,0,4:33,0:00,1,3,3,5:00
Marlon Moraes,John Dodson,19,61,0,0,0,0,4,8,8,10,7,43,0,0:00,0:01,1,1,3,5:00
Marlon Moraes,John Dodson,17,37,0,0,0,0,1,3,6,10,10,24,0,0:40,0:19,1,2,3,5:00
Marlon Moraes,John Dodson,9,33,0,0,0,0,4,5,1,3,4,25,0,0:25,0:07,1,3,3,5:00
Petr Yan,John Dodson,16,41,0,0,2,2,2,3,6,8,10,32,0,0:12,0:16,1,1,3,5:00
Petr Yan,John Dodson,24,51,0,0,8,10,1,1,8,9,23,51,0,0:05,0:11,1,2,3,5:00
Petr Yan,John Dodson,21,42,4,4,5,5,0,0,2,3,28,48,0,1:12,0:10,1,3,3,5:00
Aljamain Sterling,Takeya Mizugaki,7,12,0,0,16,18,11,12,7,7,5,11,0,3:10,0:14,1,1,3,2:11
Aljamain Sterling,Takeya Mizugaki,4,13,0,0,3,4,1,2,4,4,2,11,0,3:15,0:00,1,2,3,2:11
Aljamain Sterling,Takeya Mizugaki,2,7,0,0,0,0,0,0,1,1,1,6,0,1:12,0:17,1,3,3,2:11
Dominick Cruz,Brian Bowles,20,42,1,1,0,0,8,8,1,3,12,32,0,0:36,0:00,1,1,2,5:00
Dominick Cruz,Brian Bowles,19,62,1,1,1,3,8,9,0,2,13,55,0,0:15,0:00,1,2,2,5:00
Marlon Moraes,Henry Cejudo,16,37,0,0,0,0,9,14,3,3,4,20,0,0:00,0:00,1,1,3,4:51
Marlon Moraes,Henry Cejudo,30,58,0,0,1,1,6,7,1,2,24,50,0,0:00,0:00,1,2,3,4:51
Marlon Moraes,Henry Cejudo,8,21,1,1,1,1,0,1,3,3,7,19,0,0:00,2:40,1,3,3,4:51
Petr Yan,Douglas Silva de Andrade,28,52,3,4,0,0,2,3,15,18,14,35,0,0:33,0:00,1,1,2,5:00
Petr Yan,Douglas Silva de Andrade,14,26,23,28,8,8,2,2,8,9,35,51,0,3:04,0:00,1,2,2,5:00
Dominick Cruz,TJ Dillashaw,19,59,0,0,2,3,2,2,2,4,17,56,0,0:07,0:12,1,1,5,5:00
Dominick Cruz,TJ Dillashaw,16,50,0,1,1,1,1,1,2,2,14,49,0,0:10,0:00,1,2,5,5:00
Dominick Cruz,TJ Dillashaw,18,52,0,1,1,1,0,0,2,2,17,52,0,0:13,0:04,1,3,5,5:00
Dominick Cruz,TJ Dillashaw,24,57,0,0,1,1,3,3,1,3,21,52,0,0:03,0:56,1,4,5,5:00
Dominick Cruz,TJ Dillashaw,30,76,0,0,0,0,0,0,2,3,28,73,0,0:00,0:00,1,5,5,5:00
Petr Yan,Jimmie Rivera,6,42,3,7,5,6,1,1,4,7,9,47,1,0:17,0:14,1,1,3,5:00
Petr Yan,Jimmie Rivera,20,57,1,3,3,4,2,2,3,4,19,58,1,0:08,0:25,1,2,3,5:00
Petr Yan,Jimmie Rivera,16,68,0,0,2,2,0,1,6,8,12,61,0,0:14,0:00,1,3,3,5:00
Rob Font,Ricky Simon,17,40,0,0,1,2,0,0,2,2,16,40,0,0:10,2:04,1,1,3,5:00
Rob Font,Ricky Simon,25,60,0,0,3,5,1,1,3,4,24,60,0,0:01,0:38,1,2,3,5:00
